"date","prcp","max","min","mean"
"2021-07-16",0,0.283849,0,0.185027951764706
"2021-07-17",0,0.276417,0,0.185793759302326
"2021-07-18",0,0.274791,0,0.216632303333333
"2021-07-19",0,0.2695391,0,0.196863209090909
"2021-07-20",0,0.2711101,0,0.207758620930233
"2021-07-21",0,0.2692151,0,0.212634542857143
"2021-07-22",0,0.2694011,0,0.184358616091954
"2021-07-23",0,0.2701571,0,0.189555890804598
"2021-07-24",0,0.274343,0,0.18503361954023
"2021-07-25",0,0.275336,0,0.205983495402299
"2021-07-26",0,0.2712581,0,0.176671457954545
"2021-07-27",0,0.2706921,0,0.190510066666667
"2021-07-28",0,0.2751369,0,0.182733303488372
"2021-07-29",0,0.278965,0.2035701,0.245186308333333
"2021-07-30",0,0.2621419,0,0.195899341111111
"2021-07-31",0,0.270216,0,0.192343597674419
"2021-08-01",0,0.2698171,0,0.191888898850575
"2021-08-02",0,0.267071,0,0.187689078409091
"2021-08-03",0,0.2753251,0,0.200356707692308
"2021-08-04",0,0.258467,0,0.195940494186047
"2021-08-05",0,0.3380749,0,0.19075474137931
"2021-08-06",0,0.2825329,0,0.187787034831461
"2021-08-07",0,0.280587,0,0.19544993908046
"2021-08-08",0,0.2933409,0,0.197599161797753
"2021-08-09",0,0.2856791,0,0.205365719767442
"2021-08-10",0,0.2930501,0,0.191362391954023
"2021-08-11",0,0.291944,0,0.208453605681818
"2021-08-12",0,0.376575,0,0.227358595454545
"2021-08-13",0,0.389044,0,0.266947575581395
"2021-08-14",0,0.3934369,0,0.29005264
"2021-08-15",0,0.388154,0,0.264175761797753
"2021-08-16",0,0.3876631,0,0.285559487912088
"2021-08-17",0,0.385175,0,0.253072569318182
"2021-08-18",0,0.3788359,0,0.26794748372093
"2021-08-19",0,0.3800809,0.313431,0.34985840625
"2021-08-20",0,0.385195,0.2938399,0.349881170833333
"2021-08-21",0,0.3798571,0,0.329368942696629
"2021-08-22",0,0.377068,0.2480881,0.318170666666667
"2021-08-23",0,0.378932,0.3092849,0.352686576041667
"2021-08-24",0,0.379473,0.3084641,0.35141860625
"2021-08-25",0,0.3796041,0.2700741,0.342197532291667
"2021-08-26",0,0.3787689,0,0.268294203488372
"2021-08-27",0,0.3814011,0,0.298197382758621
"2021-08-28",0,0.3805921,0,0.273105121176471
"2021-08-29",0,0.3719351,0,0.283908327777778
"2021-08-30",0,0.376967,0,0.251762581395349
"2021-08-31",0,0.370512,0.2566311,0.321921869791667
"2021-09-01",0,0.363544,0.278168,0.329345507291667
"2021-09-02",0,0.3716609,0.294451,0.337984877083333
"2021-09-03",0,0.375577,0.2416651,0.314324313541667
"2021-09-04",0,0.376152,0.2915301,0.340028571875
"2021-09-05",0,0.3728991,0.251863,0.327074930208333
"2021-09-06",0,0.365207,0.2189131,0.307264427083333
"2021-09-07",0,0.351243,0.2362251,0.309278084615385
"2021-09-08",0,0.3481281,0,0.273369635714286
"2021-09-09",0,0.354382,0,0.297756658695652
"2021-09-10",0,0.35796,0,0.24675029
"2021-09-11",0,0.3614011,0,0.232078771264368
"2021-09-12",0,0.3607521,0,0.293861847826087
"2021-09-13",0,0.357074,0,0.259838155555556
"2021-09-14",0,0.351912,0,0.248082583529412
"2021-09-15",0,0.3559229,0,0.314475533333333
"2021-09-16",0,0.3534729,0,0.285312428735632
"2021-09-17",0,0.361104,0,0.238755529213483
"2021-09-18",0,0.357367,0,0.234738461627907
"2021-09-19",0,0.351563,0,0.246394692045455
"2021-09-20",0,0.357868,0,0.261484279545455
"2021-09-21",0,0.3490651,0,0.246075187654321
"2021-09-22",0,0.3904829,0.2970879,0.337411198958333
"2021-09-23",0,0.356432,0.248136,0.305573978125
"2021-09-24",0,0.369391,0.241915,0.310942338541667
"2021-09-25",0,0.3628371,0.238579,0.311482752083333
"2021-09-26",0,0.354136,0.2223091,0.303530519791667
"2021-09-27",0,0.3525431,0,0.277197265934066
"2021-09-28",0,0.356792,0,0.235883867816092
"2021-09-29",0,0.35624,0,0.229365075581395
"2021-09-30",0,0.361506,0,0.260457015294118
"2021-10-01",0,0.3527369,0,0.242036803658537
"2021-10-02",0,0.358139,0.2527921,0.319560973958333
"2021-10-03",0,0.354852,0.230351,0.299402580208333
"2021-10-04",0,0.3511851,0,0.314778845348837
"2021-10-05",0,0.353966,0,0.260767536046512
"2021-10-06",0,0.3546519,0,0.273329291954023
"2021-10-07",0.1,0.4323261,0,0.293057679545455
"2021-10-08",0,0.339124,0,0.248911268965517
"2021-10-09",0,0.357621,0,0.255320098913043
"2021-10-10",0,0.3557091,0,0.276691926595745
"2021-10-11",0,0.357691,0,0.285486895698925
"2021-10-12",0,0.4012041,0,0.275114569662921
"2021-10-13",0,0.3783481,0,0.2817973625
"2021-10-14",0,4.105,0,0.359357680232558
"2021-10-15",0,0.3744719,0,0.28508568
"2021-10-16",0,0.3680201,0,0.23913811011236
"2021-10-17",0,0.357832,0,0.268062302325581
"2021-10-18",0,0.372072,0,0.21822711744186
"2021-10-19",0,0.3644621,0,0.255857370238095
"2021-10-20",0,0.3738341,0,0.252278744318182
"2021-10-21",0,0.3714321,0,0.270699415730337
"2021-10-22",0,0.3773739,0,0.260800885393258
"2021-10-23",0,0.3744321,0,0.259552682758621
"2021-10-24",0.1,0.4549141,0,0.269091468888889
"2021-10-25",0,0.4249489,0,0.269383757777778
"2021-10-26",0,0.3573811,0,0.254368416666667
"2021-10-27",0,0.3483591,0,0.252195397674419
"2021-10-28",0,0.35307,0,0.243221122988506
"2021-10-29",0,0.366081,0,0.258953630864198
"2021-10-30",0,0.484339,0,0.272950947727273
"2021-10-31",0,0.3705111,0,0.295262567105263
"2021-11-01",0,0.3689411,0,0.296439935802469
"2021-11-02",0,0.393106,0,0.256550314634146
"2021-11-03",0,0.362623,0,0.276869055421687
"2021-11-04",0,0.3534551,0,0.242509814285714
"2021-11-05",0,0.357501,0,0.254841355421687
"2021-11-06",0,0.3583651,0,0.251503208988764
"2021-11-07",0,0.354893,0,0.272499156321839
"2021-11-08",0,0.3449831,0,0.238862479347826
"2021-11-09",0,0.3554399,0,0.294534558241758
"2021-11-10",0,0.3512311,0,0.302168897727273
"2021-11-11",0.1,0.3884389,0,0.276451409302326
"2021-11-12",0.4,0.9767301,0,0.460514875
"2021-11-13",0,0.3858659,0,0.29442116097561
"2021-11-14",0,0.357408,0,0.271934672413793
"2021-11-15",0.2,0.5420289,0,0.308679857142857
"2021-11-16",0,0.3167131,0,0.281815346153846
"2021-11-17",0,0.3004589,0,0.231988668235294
"2021-11-18",0,0.2940979,0,0.197949225581395
"2021-11-19",0,0.317183,0,0.237293884090909
"2021-11-20",0,0.3025861,0,0.220097697674419
"2021-11-21",0,0.2952571,0,0.177035277647059
"2021-11-22",0,0.290772,0,0.226217703333333
"2021-11-23",0,0.3032961,0,0.231788041573034
"2021-11-24",0.1,0.3300991,0,0.255599414606742
"2021-11-25",0,0.315583,0,0.207045816853933
"2021-11-26",0.3,0.7819569,0,0.369419115294118
"2021-11-27",0,0.3931251,0,0.273970411904762
"2021-11-28",0.2,0.3855929,0,0.244662185714286
"2021-11-29",0.4,1.235685,0,0.607263322619048
"2021-11-30",0,0.2934279,0,0.23986054875
"2021-12-01",0,0.2513771,0,0.169549348148148
"2021-12-02",0,0.243294,0,0.180885625581395
"2021-12-03",0,0.241086,0,0.177164419512195
"2021-12-04",0,0.239815,0,0.196906314117647
"2021-12-05",0.1,0.6059389,0,0.255246208235294
"2021-12-06",0,0.314105,0,0.239315802352941
"2021-12-07",0,0.5088611,0,0.290330827586207
"2021-12-08",0.1,0.8867321,0,0.321223051162791
"2021-12-09",0,0.5481501,0,0.374931377647059
"2021-12-10",0,0.3910789,0,0.272784296428571
"2021-12-11",0,0.339344,0,0.22537854025974
"2021-12-12",0,0.313544,0,0.2062255
"2021-12-13",0,0.237519,0,0.16559221627907
"2021-12-14",0,0.8100519,0,0.306620265909091
"2021-12-15",0.1,0.39116,0,0.244820391954023
"2021-12-16",0.6,1.086483,0,0.537389947058823
"2021-12-17",0.2,0.971935,0,0.451953636666667
"2021-12-18",0,0.4432981,0,0.324267065909091
"2021-12-19",0.3,0.456759,0,0.236952827906977
"2021-12-20",0.3,0.9404981,0,0.634113259302326
"2021-12-21",0.4,1.251008,0,0.701222763043478
"2021-12-22",0,0.764277,0,0.639614654117647
"2021-12-23",0,0.913558,0,0.641452125882353
"2021-12-24",0.3,1.161563,0,0.735583025287356
"2021-12-25",0.1,0.983505,0,0.659493364556962
"2021-12-26",0.4,1.989822,0,1.14095585542169
"2021-12-27",0,0.8712089,0,0.679513655681818
"2021-12-28",0.4,0.631556,0,0.503081521428571
"2021-12-29",0,0.5158789,0,0.460410091860465
"2021-12-30",0,0.468091,0.4079859,0.43669334375
"2021-12-31",0,0.4140821,0,0.317899296703297
"2022-01-01",0,0.498543,0,0.356188507692308
"2022-01-02",0,0.388284,0,0.298906355294118
"2022-01-03",0,0.502346,0,0.303760435365854
"2022-01-04",0,0.355094,0,0.311801345977011
"2022-01-05",0,0.7955291,0,0.415407798765432
"2022-01-06",0,0.6601779,0,0.473787821176471
"2022-01-07",0,4.105,0,0.416672684615385
"2022-01-08",0,0.7105391,0,0.355054567532468
"2022-01-09",0.1,0.8959031,0,0.471132736470588
"2022-01-10",0,0.470525,0,0.395060726436782
"2022-01-11",0,4.105,0,0.392620281395349
"2022-01-12",0.1,0.3755481,0,0.321930710843373
"2022-01-13",0,0.3557479,0,0.286416355294118
"2022-01-14",0,0.3152339,0,0.252551467105263
"2022-01-15",0,0.288662,0,0.227490506024096
"2022-01-16",0,0.268687,0,0.18807544125
"2022-01-17",0,0.2672181,0,0.214390170238095
"2022-01-18",0,0.2613699,0,0.207292695121951
"2022-01-19",0,0.2628701,0,0.23745140375
